;Age;Gender;Education Level;Job Title;Years of Experience;Salary_usd;Country;Race;Graduated high-school type;Hours-per-week;Avarege Salary per-year_usd;Employment type 
47;45.0;Female;Master's;Director of Marketing;16.0;180000.0;UK;Welsh;State; 47.5;102.249;FT
48;38.0;Male;PhD;Senior Scientist;11.0;120000.0;Australia;Asian;State; 42.5;113.391;FT
49;25.0;Male;Bachelor's;Help Desk Analyst;0.0;35000.0;USA;Asian;State; 42.5;33.046;FT
50;51.0;Female;Bachelor's;Customer Service Manager;22.0;130000.0;China;Korean;Private; 47.5;41.112;FT
51;33.0;Male;Master's;Business Intelligence Analyst;7.0;85000.0;Australia;Australian;State; 42.5;88.316;FT
52;40.0;Female;Bachelor's;Event Coordinator;12.0;60000.0;China;White;Other; 42.5;58.694;FT
53;47.0;Male;Master's;VP of Finance;19.0;200000.0;Australia;Asian;State;55;159.55;FT
54;29.0;Female;Bachelor's;Graphic Designer;3.0;50000.0;Canada;Black;State; 42.5;72.021;FL
55;36.0;Male;Bachelor's;Sales Manager;9.0;95000.0;China;Korean;State; 47.5;85.032;FT
56;27.0;Female;Master's;UX Researcher;2.0;65000.0;Canada;White;State; 42.5;123.701;FT
57;43.0;Male;PhD;Senior Engineer;17.0;140000.0;USA;Hispanic;State; 42.5;100.561;FT
58;30.0;Female;Bachelor's;Social Media Manager;4.0;55000.0;Canada;White;State; 42.5;48.531;FT
59;35.0;Male;Master's;Product Manager;7.0;105000.0;Canada;Asian;State; 47.5;114.787;FT
60;51.0;Female;Master's;Director of Operations;23.0;170000.0;USA;African American;State; 52.5;102.249;FT
61;29.0;Male;Bachelor's;Marketing Analyst;3.0;50000.0;China;Chinese;State; 42.5;67.629;FT
62;40.0;Female;Bachelor's;HR Manager;12.0;80000.0;China;Korean;Other;45;62.74;PT
63;47.0;Male;PhD;Senior Data Scientist;21.0;180000.0;China;White;State; 42.5;152.61;FT
64;26.0;Male;Bachelor's;Junior Accountant;1.0;35000.0;Australia;Australian;State; 42.5;54.339;FT
65;38.0;Female;Master's;Digital Marketing Manager;10.0;90000.0;China;Korean;Other; 47.5;75.24;FT
66;46.0;Male;Bachelor's;IT Manager;19.0;120000.0;Australia;Australian;State; 47.5;94.454;FT
67;31.0;Female;Bachelor's;Customer Service Representative;5.0;45000.0;Canada;Asian;State; 42.5;61.112;FT
68;34.0;Male;Master's;Business Development Manager;8.0;90000.0;Canada;Asian;Other; 47.5;83.801;FT
69;49.0;Female;Master's;Senior Financial Analyst;18.0;150000.0;Canada;White;State; 42.5;73.046;FT
70;33.0;Male;Bachelor's;Web Developer;6.0;65000.0;USA;Hispanic;State; 42.5;56.691;FT
71;39.0;Female;Bachelor's;Recruiter;11.0;70000.0;USA;Asian;State; 42.5;66.556;FT
72;45.0;Male;PhD;Research Director;16.0;190000.0;UK;Mixed;Other;50;102.249;FT
73;28.0;Male;Bachelor's;Technical Support Specialist;2.0;40000.0;China;Korean;State; 42.5;42.445;FT
74;42.0;Female;Master's;Creative Director;14.0;120000.0;Canada;Black;State; 47.5;102.249;FT
75;37.0;Male;Bachelor's;Project Manager;10.0;95000.0;USA;Asian;State; 47.5;101.559;FT
76;50.0;Female;Bachelor's;Operations Manager;22.0;160000.0;USA;White;State; 47.5;135.556;FT
77;32.0;Male;Master's;Senior Software Engineer;6.0;100000.0;USA;African American;Private; 42.5;116.666;PT
78;48.0;Female;Master's;Human Resources Director;20.0;180000.0;Canada;Black;Private; 47.5;102.249;CT
79;30.0;Female;Bachelor's;Content Marketing Manager;3.0;55000.0;Australia;White;State; 42.5;53.796;FT
80;36.0;Male;Bachelor's;Technical Recruiter;8.0;70000.0;UK;Asian;State; 42.5;68.905;FT
81;41.0;Female;Master's;Data Analyst;13.0;80000.0;USA;White;State; 42.5;76.728;FT
82;25.0;Male;Bachelor's;Sales Representative;0.0;30000.0;Australia;Asian;State; 42.5;33.356;FT
83;52.0;Male;PhD;Chief Technology Officer;24.0;250000.0;Canada;Black;State;40;198.668;FT
84;29.0;Female;Bachelor's;Junior Designer;2.0;40000.0;Australia;Asian;Other; 42.5;36.77;FT
85;34.0;Female;Master's;Financial Advisor;10.0;95000.0;UK;White;Other; 42.5;103556;FT
86;27.0;Male;Bachelor's;Junior Account Manager;2.0;45000.0;Canada;White;State; 42.5;40.33;FT
87;40.0;Female;Bachelor's;HR Generalist;15.0;80000.0;USA;Hispanic;State; 42.5;76.978;FT
88;46.0;Male;Master's;Senior Project Manager;21.0;135000.0;Canada;Asian;State; 47.5;146.66;FT
89;31.0;Female;Bachelor's;Marketing Coordinator;6.0;55000.0;Australia;Asian;State; 42.5;116.666;FT
90;36.0;Male;PhD;Principal Scientist;11.0;120000.0;UK;Mixed;State; 42.5;76.728;FT
91;29.0;Female;Bachelor's;Sales Associate;3.0;40000.0;China;White;State; 42.5;136.532;FT
92;43.0;Male;Bachelor's;Supply Chain Manager;18.0;105000.0;UK;Welsh;State; 47.5;58.151;FT
93;52.0;Female;Master's;Senior Marketing Manager;25.0;170000.0;China;Chinese;State; 47.5;102.249;FT
94;33.0;Male;Bachelor's;Business Analyst;7.0;75000.0;Australia;Australian;State; 42.5;67.629;FT
95;39.0;Female;Bachelor's;Training Specialist;12.0;65000.0;USA;African American;State; 42.5;114.787;FT
96;47.0;Male;PhD;Research Scientist;22.0;160000.0;Australia;Asian;Other; 42.5;85.032;PT
97;26.0;Male;Bachelor's;Junior Software Developer;1.0;35000.0;China;White;State; 42.5;51.079;FT
98;38.0;Female;Master's;Public Relations Manager;10.0;90000.0;UK;Asian;State; 42.5;113.391;FT
99;45.0;Male;Bachelor's;Operations Analyst;20.0;110000.0;China;Chinese;State;50;116.666;FT
100;31.0;Female;Bachelor's;Event Coordinator;5.0;45000.0;Australia;Asian;State;30;80.904;FT
101;35.0;Male;Master's;Product Marketing Manager;8.0;95000.0;China;White;State;32.5;75.311;FT
102;49.0;Female;Master's;Senior HR Manager;19.0;150000.0;Australia;White;State;55;87.288;FT
103;33.0;Male;Bachelor's;Junior Web Developer;5.0;50000.0;Canada;Asian;State;35.5;61.112;FT
104;39.0;Female;Master's;Senior Project Coordinator;13.0;80000.0;UK;Welsh;Private;44;72.646;FT
105;44.0;Male;PhD;Chief Data Officer;16.0;220000.0;USA;African American;State;48.5;75.24;FT
106;30.0;Female;Bachelor's;Digital Content Producer;3.0;50000.0;UK;White;State;23;140.94;FT
107;36.0;Male;Bachelor's;IT Support Specialist;7.0;60000.0;USA;Asian;State;38;39.092;FT
108;41.0;Female;Master's;Senior Marketing Analyst;14.0;100000.0;USA;White;State;38.5;102.249;FT
109;28.0;Male;Bachelor's;Customer Success Manager;2.0;40000.0;USA;Hispanic;Private;40;85.363;FT
110;42.0;Female;Master's;Senior Graphic Designer;15.0;110000.0;USA;Asian;Private;42.5;148.425;FT
111;37.0;Male;Bachelor's;Software Project Manager;9.0;95000.0;UK;White;State;50;50.494;FT
112;50.0;Female;Bachelor's;Supply Chain Analyst;22.0;130000.0;UK;Welsh;Private;42.5;55.299;FT
113;32.0;Male;Master's;Senior Business Analyst;6.0;90000.0;USA;Asian;Other;36;107.005;PT
114;23.0;Female;Bachelor's;Junior Marketing Analyst;0.5;35000.0;USA;White;Other;42.5;49.349;FT
115;31.0;Male;Master's;Senior Financial Analyst;6.0;95000.0;Australia;Asian;State;55.5;159.959;FT
116;40.0;Female;Bachelor's;Office Manager;15.0;65000.0;USA;White;State;40;67.691;FT
117;48.0;Male;PhD;Principal Engineer;20.0;170000.0;USA;Hispanic;State;42.5;111.498;FT
118;29.0;Female;Bachelor's;Junior HR Generalist;3.0;45000.0;Australia;Australian;Private; 42.5;120.644;FT
119;35.0;Male;Master's;Senior Product Manager;10.0;120000.0;Canada;White;State; 42.5;189.843;FT
120;42.0;Female;Bachelor's;Sales Manager;17.0;100000.0;China;Korean;State; 47.5;62.045;FT
121;53.0;Male;Master's;Director of Marketing;25.0;180000.0;UK;Mixed;Private; 42.5;124.927;FT
122;33.0;Female;Bachelor's;Junior Operations Analyst;5.0;50000.0;Australia;Australian;State;50;58.622;FT
123;38.0;Male;Bachelor's;Customer Service Manager;11.0;80000.0;China;White;State; 42.5;136.532;FT
124;44.0;Female;PhD;Senior Scientist;16.0;140000.0;UK;Mixed;Other; 47.5;63.43;PT
125;26.0;Male;Bachelor's;Junior Accountant;2.0;40000.0;UK;White;State; 47.5;62.74;FT
126;37.0;Female;Master's;Senior HR Generalist;9.0;95000.0;USA;African American;State; 42.5;100.561;FT
127;45.0;Male;Bachelor's;Sales Operations Manager;18.0;110000.0;UK;White;Private;45;61.112;FT
128;32.0;Female;Bachelor's;Marketing Coordinator;4.0;50000.0;USA;White;State; 42.5;88.829;FT
129;34.0;Male;Master's;Senior Software Developer;8.0;105000.0;Canada;White;State;45;72.021;FT
130;50.0;Female;Master's;Director of Operations;21.0;160000.0;UK;White;State; 42.5;102.249;FT
131;29.0;Male;Bachelor's;Junior Web Designer;3.0;45000.0;China;White;State; 47.5;100.561;FT
132;40.0;Female;Master's;Senior Training Specialist;12.0;100000.0;Canada;Black;Private; 42.5;35.538;FT
133;47.0;Male;PhD;Senior Research Scientist;22.0;160000.0;USA;Hispanic;Private; 47.5;88.855;FT
134;27.0;Male;Bachelor's;Junior Sales Representative;1.0;35000.0;UK;Mixed;State; 47.5;63.43;FT
135;39.0;Female;Bachelor's;Administrative Assistant;10.0;55000.0;Canada;Black;State; 42.5;66.741;FT
136;46.0;Male;Master's;Senior Project Manager;19.0;140000.0;Canada;Black;State; 37.5;102.249;FT
137;30.0;Female;Bachelor's;Junior Marketing Manager;4.0;50000.0;Canada;White;State;50;113.391;FT
138;36.0;Male;Bachelor's;Junior Data Analyst;7.0;60000.0;Australia;Asian;Private; 42.5;33.046;FT
139;43.0;Female;Master's;Senior Product Marketing Manager;14.0;120000.0;Australia;White;Private;55;41.112;FT
140;28.0;Male;Bachelor's;Junior Business Analyst;2.0;40000.0;USA;White;State; 42.5;88.316;FT
141;41.0;Female;Master's;Senior Marketing Manager;13.0;110000.0;Australia;Australian;State; 42.5;58.694;FT
142;33.0;Male;Bachelor's;Junior Software Developer;5.0;50000.0;USA;Hispanic;State; 47.5;159.55;FT
143;47.0;Male;Bachelor's;Senior Sales Manager;20.0;135000.0;China;White;Private; 42.5;72.021;FT
144;25.0;Female;Master's;Junior Marketing Specialist;1.5;40000.0;Australia;Asian;State; 47.5;85.032;FT
145;34.0;Male;Bachelor's;Senior Business Analyst;8.0;90000.0;Australia;Asian;State; 42.5;123.701;FT
146;42.0;Female;PhD;Senior Data Scientist;16.0;150000.0;China;Chinese;Private;50;100.561;FT
147;31.0;Male;Bachelor's;Junior Project Manager;4.0;60000.0;UK;Welsh;Private; 42.5;48.531;FT
148;38.0;Female;Bachelor's;Senior Accountant;10.0;80000.0;USA;African American;State; Varies significantly;114.787;FT
149;45.0;Male;Master's;Director of Sales;19.0;175000.0;Canada;Black;State; 42.5;102.249;FT
150;29.0;Female;Bachelor's;Junior Recruiter;3.0;45000.0;Australia;Australian;Private; 42.5;67.629;FT
151;36.0;Male;Master's;Senior Business Development Manager;11.0;120000.0;Canada;Black;Private; 42.5;62.74;FT
152;43.0;Female;PhD;Senior Product Designer;18.0;140000.0;Australia;Asian;Private; 47.5;152.61;FT
153;26.0;Male;Bachelor's;Junior Customer Support Specialist;2.0;35000.0;USA;Asian;State; 42.5;54.339;FT
154;37.0;Female;Master's;Senior Marketing Analyst;9.0;95000.0;Canada;White;Other; 42.5;75.24;FT
155;44.0;Male;Bachelor's;Senior IT Support Specialist;14.0;110000.0;USA;African American;State; 47.5;94.454;FT
156;32.0;Female;Bachelor's;Junior Financial Analyst;5.0;50000.0;USA;Asian;Private; 42.5;61.112;FT
157;33.0;Male;Master's;Senior Operations Manager;7.0;115000.0;China;Korean;State; 47.5;83.801;FT
158;51.0;Female;PhD;Director of Human Resources;23.0;185000.0;China;Chinese;Private; 42.5;73.046;FT
159;28.0;Male;Bachelor's;Junior Software Engineer;2.0;40000.0;Australia;White;Private; 52.5;56.691;FT
160;39.0;Female;Bachelor's;Senior Sales Representative;12.0;90000.0;USA;Asian;Private; 42.5;66.556;FT
161;48.0;Male;Master's;Director of Product Management;21.0;175000.0;USA;Asian;Private; 42.5;102.249;FT
162;30.0;Female;Bachelor's;Junior Copywriter;3.0;45000.0;UK;Mixed;State;50;42.445;FT
163;35.0;Male;Bachelor's;Senior Marketing Coordinator;7.0;80000.0;China;White;Other; 42.5;102.249;FT
164;41.0;Female;Master's;Senior Human Resources Manager;13.0;120000.0;China;Korean;State; 42.5;101.559;FT
165;27.0;Male;Bachelor's;Junior Business Development Associate;1.5;35000.0;China;White;State; 47.5;135.556;FT
166;40.0;Female;Bachelor's;Senior Account Manager;14.0;110000.0;Australia;Australian;State; 42.5;116.666;FT
167;46.0;Male;PhD;Senior Researcher;18.0;150000.0;Canada;Black;Private; 42.5;102.249;FT
168;31.0;Female;Bachelor's;Junior HR Coordinator;4.0;50000.0;China;Korean;Other; 47.5;53.796;FT
169;34.0;Male;Master's;Senior Software Engineer;9.0;105000.0;China;Korean;State; 42.5;68.905;FT
170;50.0;Female;Master's;Director of Finance;20.0;180000.0;Australia;Australian;State; 42.5;76.728;FT
171;29.0;Male;Bachelor's;Junior Marketing Coordinator;2.0;40000.0;Canada;Asian;Other;55;33.356;FT
173;43.0;Male;Bachelor's;Senior Project Manager;16.0;140000.0;UK;White;State; 42.5;198.668;FT
174;26.0;Female;Master's;Junior Data Scientist;1.5;45000.0;Canada;Asian;Private; 47.5;36.77;FT
175;35.0;Male;Bachelor's;Senior Operations Analyst;7.0;85000.0;China;White;Private; 42.5;103556;FT
176;42.0;Female;PhD;Senior Marketing Manager;18.0;140000.0;UK;Asian;State; 42.5;40.33;FT
177;31.0;Male;Bachelor's;Junior Accountant;4.0;50000.0;UK;Welsh;State; 42.5;76.978;FT
178;38.0;Female;Bachelor's;Senior Human Resources Coordinator;10.0;80000.0;UK;Asian;State; 47.5;146.66;FT
179;46.0;Male;Master's;Director of Operations;20.0;170000.0;USA;Asian;State; 52.5;116.666;FT
180;29.0;Female;Bachelor's;Junior Sales Representative;2.0;40000.0;UK;Welsh;Private; 42.5;76.728;FT
181;37.0;Male;Master's;Senior Business Analyst;9.0;105000.0;China;Chinese;Other;45;136.532;FT
182;44.0;Female;PhD;Senior UX Designer;15.0;145000.0;USA;Hispanic;State; 42.5;58.151;FT
183;27.0;Male;Bachelor's;Junior Product Manager;2.0;40000.0;USA;Hispanic;Private; 42.5;102.249;FT
184;36.0;Female;Bachelor's;Senior Marketing Specialist;8.0;85000.0;USA;African American;State; 47.5;67.629;FT
185;43.0;Male;Bachelor's;Senior IT Project Manager;14.0;130000.0;China;Chinese;Private; 47.5;114.787;FL
186;33.0;Female;Master's;Senior Financial Analyst;6.0;95000.0;Canada;White;State; 42.5;85.032;FT
187;34.0;Male;Bachelor's;Senior Quality Assurance Analyst;9.0;100000.0;UK;Mixed;State; 47.5;51.079;FT
188;50.0;Female;PhD;Director of Sales and Marketing;22.0;180000.0;China;Korean;Private; 42.5;113.391;FT
189;28.0;Male;Bachelor's;Junior Operations Analyst;1.5;35000.0;UK;Welsh;Private; 42.5;116.666;FT
190;39.0;Female;Bachelor's;Senior Account Executive;12.0;95000.0;USA;African American;State; 42.5;80.904;FT
191;47.0;Male;Master's;Director of Business Development;19.0;170000.0;Australia;Asian;State;50;75.311;FT
192;30.0;Female;Bachelor's;Junior Social Media Manager;3.0;45000.0;Australia;Australian;State; 42.5;87.288;FT
193;34.0;Male;Bachelor's;Senior Product Manager;7.0;95000.0;China;Chinese;State; 47.5;61.112;FT
194;40.0;Female;Master's;Senior Human Resources Specialist;13.0;120000.0;UK;Welsh;State; 47.5;72.646;FT
195;28.0;Male;Bachelor's;Junior Business Analyst;2.0;40000.0;USA;African American;Other; 47.5;75.24;FT
196;41.0;Female;Bachelor's;Senior Marketing Coordinator;11.0;90000.0;Canada;Asian;State; 42.5;140.94;FT
197;45.0;Male;PhD;Senior Data Analyst;17.0;155000.0;UK;Asian;State; 47.5;39.092;FT
198;32.0;Female;Bachelor's;Junior Account Manager;5.0;55000.0;Australia;Asian;Other; 42.5;102.249;FT
199;35.0;Male;Master's;Senior Software Developer;9.0;110000.0;Canada;Asian;State; 42.5;85.363;FT
200;49.0;Female;Master's;Director of Human Capital;21.0;180000.0;UK;Mixed;State; 42.5;148.425;FT
201;30.0;Male;Bachelor's;Junior Advertising Coordinator;3.0;45000.0;UK;White;Private; 42.5;50.494;FT
202;44.0;Male;Bachelor's;Senior Sales Manager;16.0;130000.0;USA;Asian;State;42;55.299;FT
203;27.0;Female;Master's;Junior UX Designer;1.5;45000.0;USA;Hispanic;State; 42.5;107.005;FT
204;36.0;Male;Bachelor's;Senior Accountant;7.0;90000.0;Canada;White;State; 42.5;49.349;FT
205;41.0;Female;PhD;Senior Marketing Director;17.0;160000.0;UK;Mixed;Private; 42.5;159.959;FT
206;31.0;Male;Bachelor's;Junior HR Generalist;4.0;50000.0;China;Chinese;State; 42.5;67.691;FT
207;39.0;Female;Bachelor's;Senior Operations Manager;10.0;120000.0;Australia;Asian;State; 47.5;111.498;FT
208;47.0;Male;Master's;Director of Finance;20.0;170000.0;Australia;Australian;State; 42.5;120.644;FT
209;30.0;Female;Bachelor's;Junior Marketing Coordinator;2.0;40000.0;China;Korean;State; 42.5;189.843;FL
210;38.0;Male;Master's;Senior IT Consultant;9.0;110000.0;China;White;Private; 42.5;62.045;FT
211;45.0;Female;PhD;Senior Product Designer;15.0;150000.0;China;Chinese;Private; 47.5;124.927;FT
212;28.0;Male;Bachelor's;Junior Business Development Associate;2.0;40000.0;USA;Asian;Private; 47.5;58.622;FT
213;35.0;Female;Bachelor's;Senior Marketing Analyst;8.0;85000.0;USA;White;State; 42.5;136.532;FT
214;44.0;Male;Bachelor's;Senior Software Engineer;14.0;130000.0;China;Chinese;Private; 42.5;63.43;FT
215;34.0;Female;Master's;Senior Financial Advisor;6.0;100000.0;UK;Welsh;Private; 42.5;62.74;FT
216;35.0;Male;Bachelor's;Senior Project Coordinator;9.0;95000.0;Canada;White;State; 42.5;100.561;FT
217;50.0;Female;PhD;Director of Operations;22.0;180000.0;Australia;Australian;Private; 42.5;61.112;PT
218;29.0;Male;Bachelor's;Junior Business Operations Analyst;1.5;35000.0;UK;Asian;State;50;88.829;FT
219;40.0;Female;Bachelor's;Senior Sales Representative;12.0;100000.0;China;Chinese;State;30;72.021;FT
220;48.0;Male;Master's;Director of Marketing;19.0;170000.0;USA;Hispanic;State;32.5;102.249;FT
221;31.0;Female;Bachelor's;Junior Social Media Specialist;3.0;45000.0;UK;Welsh;Other;55;100.561;FT
222;33.0;Male;Bachelor's;Senior Product Development Manager;7.0;100000.0;USA;Hispanic;State;35.5;35.538;FT
223;42.0;Female;Master's;Senior Human Resources Manager;13.0;140000.0;China;White;State;44;88.855;FT
224;28.0;Male;Bachelor's;Junior Financial Analyst;2.0;40000.0;Australia;Australian;Other;48.5;63.43;FT
225;40.0;Female;Bachelor's;Senior Marketing Manager;11.0;105000.0;UK;White;Private;23;66.741;FT
226;46.0;Male;PhD;Senior Data Scientist;18.0;160000.0;Canada;White;State;38;102.249;CT
227;33.0;Female;Bachelor's;Junior Operations Manager;5.0;70000.0;Australia;Asian;State;38.5;113.391;FT
228;37.0;Male;Master's;Senior Software Architect;9.0;120000.0;Australia;Australian;Private;40;33.046;FT
229;51.0;Female;Master's;Director of Human Resources;21.0;190000.0;USA;Hispanic;State;42.5;41.112;FT
230;30.0;Male;Bachelor's;Junior Marketing Specialist;3.0;45000.0;Canada;Black;State;50;88.316;FT
231;43.0;Male;Bachelor's;Senior Project Manager;15.0;120000.0;Canada;Asian;State;42.5;58.694;FT
232;27.0;Female;Master's;Junior Research Scientist;1.5;50000.0;China;White;Private;36;159.55;FT
233;35.0;Male;Bachelor's;Senior Operations Analyst;8.0;85000.0;Canada;White;Private;42.5;72.021;FT
234;42.0;Female;PhD;Senior Marketing Manager;13.0;140000.0;Canada;White;State;55.5;85.032;FT
235;32.0;Male;Bachelor's;Junior Sales Representative;3.0;45000.0;Australia;White;Private;40;123.701;FT
236;37.0;Female;Bachelor's;Senior Financial Analyst;9.0;100000.0;UK;Welsh;Private;42.5;100.561;FT
237;45.0;Male;Master's;Senior Software Developer;16.0;140000.0;Australia;Asian;Private;42;48.531;FT
238;33.0;Female;Bachelor's;Junior Operations Analyst;5.0;70000.0;Canada;Asian;Private;55;114.787;FT
239;39.0;Male;Bachelor's;Senior Marketing Specialist;10.0;120000.0;Canada;Black;State;42.5;102.249;FT
240;44.0;Female;PhD;Senior HR Manager;18.0;160000.0;Canada;White;Private;44.5;67.629;FT
241;29.0;Male;Bachelor's;Junior Business Analyst;1.5;40000.0;Australia;Australian;Private;42.5;62.74;FT
242;38.0;Female;Bachelor's;Senior Product Manager;10.0;120000.0;China;Korean;Private;44;152.61;FT
243;46.0;Male;PhD;Senior Data Analyst;19.0;150000.0;UK;Asian;Private;50;54.339;FT
244;34.0;Female;Bachelor's;Junior Marketing Analyst;6.0;70000.0;USA;Asian;Private; 42.5;75.24;FT
245;36.0;Male;Bachelor's;Senior Operations Manager;8.0;95000.0;USA;White;Private; 42.5;94.454;FT
246;49.0;Female;Master's;Director of Marketing;21.0;180000.0;Canada;White;Private; 47.5;61.112;FT
247;31.0;Male;Bachelor's;Junior Financial Analyst;3.0;50000.0;Canada;Black;Private; 42.5;83.801;FT
248;41.0;Female;Bachelor's;Senior Project Coordinator;11.0;95000.0;USA;African American;State;50;73.046;FT
249;47.0;Male;Master's;Director of Operations;20.0;170000.0;Canada;White;Private; 42.5;56.691;FT
250;30.0;Female;Bachelor's;Junior Marketing Coordinator;2.0;40000.0;USA;White;State; 47.5;66.556;FT
251;38.0;Male;Master's;Senior IT Consultant;9.0;110000.0;Australia;Australian;Private; 47.5;102.249;FT
252;45.0;Female;PhD;Senior Product Designer;15.0;150000.0;China;Korean;State; 42.5;42.445;FT
253;28.0;Male;Bachelor's;Junior Business Development Associate;2.0;40000.0;USA;Asian;State;45;102.249;FT
254;35.0;Female;Bachelor's;Senior Marketing Analyst;8.0;85000.0;Canada;White;State; 42.5;101.559;FT
255;44.0;Male;Bachelor's;Senior Software Engineer;14.0;130000.0;Australia;Australian;State;45;135.556;FT
256;34.0;Female;Master's;Senior Financial Advisor;6.0;100000.0;Australia;Australian;State; 42.5;116.666;FT
257;35.0;Male;Bachelor's;Senior Project Coordinator;9.0;95000.0;UK;Asian;Other; 47.5;102.249;FT
258;50.0;Female;PhD;Director of Operations;22.0;180000.0;Australia;White;Private; 42.5;53.796;FT
259;29.0;Male;Bachelor's;Junior Business Operations Analyst;1.5;350.0;USA;Hispanic;State; 47.5;68.905;FT
